"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Phel_contig_10629" 165.415753729393 -1.32384461752457 0.442170041678945 -2.99397175914012 0.00275371431634427 0.0208556203481895
"Phel_contig_10633" 118.030579397223 -1.56824807375018 0.453545499613754 -3.45775247485803 0.000544701591364965 0.00598147146592945
"Phel_contig_1064" 2112.7513280641 1.12987049101778 0.368942917822319 3.06245339438097 0.00219530658136965 0.0176408564574347
"Phel_contig_10645" 891.612393675754 -2.33274548156328 0.496529939188045 -4.69809632300909 2.62597589219282e-06 7.09013490892061e-05
"Phel_contig_1065" 7243.0139187524 -3.82519299423061 0.491002618563355 -7.79057554809565 6.67046414796251e-15 1.11305419533048e-12
"Phel_contig_10654" 190.567209356708 -2.40048534371603 0.509915771932184 -4.70761148379479 2.50636213689021e-06 6.80118368804379e-05
"Phel_contig_1066" 5803.29189211511 6.73231337264025 0.760337726669235 8.85437238808613 8.41559847454864e-19 2.71308846343658e-16
"Phel_contig_1067" 53.2497967453723 2.60199926606988 0.723433885321908 3.59673401932516 0.000322237682216687 0.00392573826050787
"Phel_contig_10674" 63.7552109406205 2.86953605118797 0.628786291273321 4.56361102494304 5.02811999297006e-06 0.000122030777357476
"Phel_contig_10682" 45.5216569989816 2.24818572633556 0.764959769617058 2.93895942718792 0.00329316180680882 0.0239185904117446
